Notice Date,Shop,Address,Municipality,Offence,ChargeBy,Charge,LAT,LON
2020-12-15,Avenue Restaurant,10519 Islington Ave.,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to have at least two full sides open to the outdoors if outdoor dining area is covered by a roof, canopy, tent, awning or other elementPt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to have at least two full sides open to the outdoors if outdoor dining area is covered by a roof, canopy, tent, awning or other element",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.844133,-79.628548
2020-12-15,Balaton Meats,96 Corstate Ave,City of Vaughan,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Employees not wearing proper face cover,Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.817705,-79.535355
2020-12-15,Bank of Nova Scotia,8565 Highway 27,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth, if in the course of providing services",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.817705,-79.535355
2020-12-15,Castello Ristorante,3600 Langstaff Rd Unit #12,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to have at least two full sides open to the outdoors if outdoor dining area is covered by a roof, canopy, tent, awning or other element",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.808711,-79.547313
2020-12-15,Century Restaurant,"398 Ferrier St., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  permitting more than 10 patrons,Markham Bylaw Enforcement,$750 + surcharge = $880,43.820252,-79.33058
2020-12-15,Chat Bar,"187 Main St, Unionville",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Permitting more than 10 patrons,Markham Bylaw Enforcement,$750 + surcharge = $880,43.867617,-79.312101
2020-12-15,Chinese Dumpling House,"3636 Steeles Ave. East, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  No customer tracking sheet,Markham Bylaw Enforcement,$750 + surcharge = $880,43.818236,-79.330544
2020-12-15,Chucks Roadhouse,"125 Pedersen Drive, Aurora",Town of Aurora,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Over capacity and employees not wearing masks,Aurora Bylaw Enforcement,$750 + surcharge = $880,44.018941,-79.448869
2020-12-15,Day & Night Firewood Steak House,"2 Fenton Road, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.827558,-79.291916
2020-12-15,Distinct Nails & Spa Inc,"3-1700 King Road, King City",Township of King,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.933458,-79.507073
2020-12-15,DJ Hair,"4-1 Raymerville Drive, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.877174,-79.285845
2020-12-15,Ella Salon,"15C-8380 Kennedy Road, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.861163,-79.303033
2020-12-15,Est. 2020 Restaurant & Lounge ,3603 Langstaff Rd,City of Vaughan,"2 Charges - Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20:  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to ensure no consumption after 10:00 p.m. √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to limit the number of patrons seated indoors so as to maintain a physical distance of at least two metres from every other person in the establishment, and in any event not exceeding 10 patrons2 Charges - Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20:  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to close establishment between 10:00 p.m. and 5:00 a.m. √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth, if in the course of providing services",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.80832,-79.54911
2020-12-15,F45 Training Aurora South,"135 - 14800 Yonge Street, Aurora",Town of Aurora,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Loud music,York Region Public Health,$750 + surcharge = $880,43.963197,-79.458872
2020-12-15,Food Court,"7181 Yonge St., Thornhill",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Food Court Open,Markham Bylaw Enforcement,$750 + surcharge = $880,43.803533,-79.421517
2020-12-15,Foody Mart,"5221 Hwy 7 East, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Buffet style,Markham Bylaw Enforcement,$750 + surcharge = $880,43.866807,-79.28576
2020-12-15,Freshco,800 Steeles,City of Vaughan,Fail to comply with the Class Order under Sec. 22 of the HPPA  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Lack of physical distancing  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Failed to actively monitor compliance with capacity limits at all entrances,Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.791994,-79.447943
2020-12-15,Freshway Foodmart,"3275 Hwy 7 East, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Buffet style,Markham Bylaw Enforcement,$750 + surcharge = $880,43.851444,-79.350247
2020-12-15,Full Fresh Supermarket,"9390 Woodbine Ave., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Shopping carts not sanitized,Markham Bylaw Enforcement,$750 + surcharge = $880,43.872691,-79.363914
2020-12-15,Go for Tea,"179 Enterprise Blvd., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  No customer tracking sheet,Markham Bylaw Enforcement,$750 + surcharge = $880,43.849672,-79.322991
2020-12-15,Grandma's Home,"7030 Warden Ave., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Mandatory mask sign not displayed,Markham Bylaw Enforcement,$750 + surcharge = $880,43.820971,-79.324908
2020-12-15,Green Grotto,"7040 Warden Ave., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Mandatory mask sign not displayed,Markham Bylaw Enforcement,$750 + surcharge = $880,43.820979,-79.32491
2020-12-15,Gyubee Japanese BBQ,"7100 Woodbine Ave., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Permitting more than 10 patrons,Markham Bylaw Enforcement,$750 + surcharge = $880,43.816191,-79.349258
2020-12-15,Hai Di Lao Hot Pot,"4-5328 Highway 7 East, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.840549,-79.399658
2020-12-15,Hair by Yasmin & Vigo,8564 Hwy 27,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth, if in the course of providing services",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.793191,-79.626611
2020-12-15,Heeva Fine Foods,"10454 Yonge St, Richmond Hill",City of Richmond Hill,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Improper mask use,York Region Public Health,$750 + surcharge = $880,43.882339,-79.439812
2020-12-15,Highland Farms Inc.,9940 Dufferin St,City of Vaughan,Fail to comply with the Class Order under Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances,Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.859085,-79.486977
2020-12-15,Hong Ming BBQ,"3636 Steeles Ave. East, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Mandatory mask sign not displayed,Markham Bylaw Enforcement,$750 + surcharge = $880,43.818236,-79.330544
2020-12-15,iDance Studios,"16945 Leslie Street, Unit 10, Newmarket",Town of Newmarket,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Lack of distancing,York Region Public Health,$750 + surcharge = $880,44.052028,-79.428447
2020-12-15,Jing Nails Spa,"B3-15975 Bayview Avenue, Aurora",Town of Aurora,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Lack of distancing,York Region Public Health,$750 + surcharge = $880,44.023378,-79.447777
2020-12-15,Kathy Nails & Spa,"F2 - 1076 Hoover Park Drive, Whitchurch Stouffville",Town of Whitchurch - Stouffville,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.964434,-79.24675
2020-12-15,Mala Tang,"7050 Warden Ave., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Mandatory mask sign not displayed,Markham Bylaw Enforcement,$750 + surcharge = $880,43.821194,-79.324964
2020-12-15,Maple Meats,9222 Keele St.,City of Vaughan,"2 Charges - Pt. 1  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20:  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to ensure that that any person in the indoor area of the premises of the business or organization, or in a vehicle that is operating as part of the business or organization, wears a mask or face covering in a manner that covers their mouth, nose and chin during any period when they are in the indoor area",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.835738,-79.507972
2020-12-15,McDonalds,"700 Centre Street, Vaughan",City of Vaughan,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.810501,-79.452273
2020-12-15,Me Ya Me,"169 Enterprise Blvd., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  No customer tracking sheet,Markham Bylaw Enforcement,$750 + surcharge = $880,43.849403,-79.324109
2020-12-15,Metro,"1 Henderson Drive., Aurora",Town of Aurora,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Masks,Aurora Bylaw Enforcement,$750 + surcharge = $880,43.983533,-79.464898
2020-12-15,Motorino Enoteca,"4101 Rutherford Rd, Vaughan, ON L4L 1A6",City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to have at least two full sides open to the outdoors if outdoor dining area is covered by a roof, canopy, tent, awning or other element",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.823944,-79.568406
2020-12-15,Muse Spa,30 Freshway Dr. unit C-1,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to close establishment between 10 p.m. and 5 a.m.Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to ensure that that any person in the indoor area of the premises of the business or organization, or in a vehicle that is operating as part of the business or organization, wears a mask or face covering in a manner that covers their mouth, nose and chin during any period when they are in the indoor area",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.793003,-79.512298
2020-12-15,Nails For You,110 Windflower Gt. U-2,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Fail to operate the business or organization in compliance with the advice, recommendations and instructions of public health officials, including any advice, recommendations or instructions on physical distancing, cleaning or disinfecting",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.79015,-79.553777
2020-12-15,New Hair In,"35 - 7010 Warden Ave, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.820202,-79.324719
2020-12-15,Oasis Spa,40 Winges Rd unit 6,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to ensure that that any person in the indoor area of the premises of the business or organization, or in a vehicle that is operating as part of the business or organization, wears a mask or face covering in a manner that covers their mouth, nose and chin during any period when they are in the indoor area2 Charges - Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 :  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth, if in the course of providing services √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Fail to ensure that that any person in the indoor area of the premises of the business or organization, or in a vehicle that is operating as part of the business or organization, wears a mask or face covering in a manner that covers their mouth, nose and chin during any period when they are in the indoor area",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.78643,-79.554139
2020-12-15,Paramount Sports Management,"130 Racco Parkway Drive, Thornhill",City of Vaughan,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Greater than 10,York Region Public Health,$750 + surcharge = $880,43.81652,-79.475054
2020-12-15,Perla Oyster Bar and Grill,3907 Hwy 7 Unit 101,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to limit the number of patrons seated indoors so as to maintain a physical distance of at least two metres from every other person in the establishment, and in any event not exceeding 10 patrons",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.787945,-79.554206
2020-12-15,Phoenix Restaurant,"10-1 Raymerville Drive, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.877174,-79.285845
2020-12-15,Seasons Foodmart,"7181 Yonge St., Thornhill",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  No safety plan,Markham Bylaw Enforcement,$750 + surcharge = $880,43.803533,-79.421517
2020-12-15,Serena Nails & Hair Care,Bldg K-L - 3175 Rutherford Road,City of Vaughan,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Incomplete collection of patron information,York Region Public Health,$750 + surcharge = $880,43.829689,-79.537033
2020-12-15,Shoppers Drug Mart (JAS Pharmacy Solutions Inc),9980 Dufferin Street,City of Vaughan,Fail to comply with the Class Order under Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances,Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.85993,-79.487191
2020-12-15,Shoppers Drug Mart (Mohsen Pharmaceutical Services Inc.),9200 Dufferin Street,City of Vaughan,Fail to comply with the Class Order under Sec. 22 of the HPPA  Failed to actively monitor compliance with capacity limits at all entrances,Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.841614,-79.482841
2020-12-15,Sunny Supermarket,"7070 Markham Road, Markham",City of Markham,2 Charges - Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20:  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú No safety plan  √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂‚àö√ú Staff not wearing mask,Markham Bylaw Enforcement,$750 + surcharge = $880,43.838299,-79.251407
2020-12-15,Toronto Internet Cafe,"8261 Woodbine Ave., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Patrons not wearing masks,Markham Bylaw Enforcement,$750 + surcharge = $880,43.844013,-79.356602
2020-12-15,Villagio Restaurante Inc.,"110 Nashville Rd., RR 1",City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to limit the number of patrons seated indoors so as to maintain a physical distance of at least two metres from every other person in the establishment, and in any event not exceeding 10 patrons",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.843493,-79.632929
2020-12-15,Walmart,8300 Hwy 27,City of Vaughan,"Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Fail to wear appropriate personal protective equipment that provides protection of the person √Ñ√∂‚àö√ë‚àö‚àÇ √†√∂‚àö√´ √†√∂¬¨‚Ä¢s eyes, nose and mouth, if in the course of providing services",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.78678,-79.625056
2020-12-15,Winco Foodmart,"3155 Hwy 7 East, Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  No safety plan,Markham Bylaw Enforcement,$750 + surcharge = $880,43.850871,-79.35293
2020-12-15,Yamator Sushi,"A3-15955 Bayview Avenue, Aurora",Town of Aurora,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  Improper mask use,York Region Public Health,$750 + surcharge = $880,44.023197,-79.447755
2020-12-15,ZQ Desserts,"7240 Woodbine Ave., Markham",City of Markham,Pt. 1 - Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20  no customer tracking sheet,Markham Bylaw Enforcement,$750 + surcharge = $880,43.81992,-79.350256
2020-12-22,Bravado Jiujitsu Academy,"7500 Highway 27, Vaughan",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Fail to close,Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.77026,-79.620934
2020-12-22,Centro Square Property Mgmt.,"7777 Weston Road, Vaughan",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Fail to comply with conditions of opening,Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.79044,-79.547583
2020-12-22,Fabricland,"8573 McCowan Road, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - business open contrary to regulations,Markham Bylaw Enforcement,$750 + surcharge = $880,43.869436,-79.285107
2020-12-22,Factory Direct.ca,"5694 Highway 7, Vaughan",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Fail to ensure that any person in the indoor area of the premises wears a mask or face covering that covers their mouth, nose and chin",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.77545,-79.611329
2020-12-22,Food Basics,"9600 Islington Avenue, Vaughan",City of Vaughan,Fail to comply with Class Order under Sec. 22 of HPPA - Staff not actively monitoring the entrance,York Region Public Health,$750 + surcharge = $880,43.82523,-79.608909
2020-12-22,Frank Borrelli,"1-815 Major Mackenzie Drive East, Richmond Hill",City of Richmond Hill,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Operating a non-essential service,York Region Public Health,$750 + surcharge = $880,43.876248,-79.41386
2020-12-22,Freshway Food Mart,"3275 Highway 7 East, Markham",City of Markham,"Fail to comply with Class Order under Sec. 22 of HPPA - Not actively monitoring crowd entering the door, no capacity signage, no COVID safety plan",York Region Public Health,$750 + surcharge = $880,43.851444,-79.350247
2020-12-22,Gasa Take Out and Catering,"50 New Delhi Drive, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Staff not wearing face masks,Markham Bylaw Enforcement,$750 + surcharge = $880,43.848599,-79.251304
2020-12-22,Giant Tiger,"5892 Main Street, Whitchurch-Stouffville",Town of Whitchurch - Stouffville,Fail to comply with Class Order under Sec. 22 of HPPA - Capacity limits not posted,York Region Public Health,$750 + surcharge = $880,43.968447,-79.260017
2020-12-22,Give and Go Prepared Foods Corporation,"370 North Rivermede Road, Vaughan",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Lack of physical distancing,York Region Public Health,$750 + surcharge = $880,43.812401,-79.483516
2020-12-22,H&K Jewelry and Jade,"4300 Steeles Avenue, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - business regulations,Markham Bylaw Enforcement,$750 + surcharge = $880,43.822283,-79.313132
2020-12-22,Heisli Mart,"3160 Steeles Avenue, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - business regulations,Markham Bylaw Enforcement,$750 + surcharge = $880,43.814874,-79.344592
2020-12-22,I Digital,"30 New Delhi Drive, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - business open contrary to regulations,Markham Bylaw Enforcement,$750 + surcharge = $880,43.848152,-79.252386
2020-12-22,IPSilver House Ltd.,"40 New Delhi Drive, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - business open contrary to regulations,Markham Bylaw Enforcement,$750 + surcharge = $880,43.848415,-79.251753
2020-12-22,KV Custom Windows & Doors Ltd.,"40 Granieridge Road, Vaughan",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - No COVID safety plan, not cleaning and disinfecting work stations",York Region Public Health,$750 + surcharge = $880,43.826803,-79.525218
2020-12-22,Maple Meats,"9222 Keele Street, Vaughan",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Fail to wear appropriate personal protective equipment in the course of providing services, if within two metres of another person or if not separated by an impermeable barrier (x2)",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.835738,-79.507972
2020-12-22,Markham Acura,"5201 Highway 7, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Staff not wearing mask,Markham Bylaw Enforcement,$750 + surcharge = $880,43.866437,-79.287279
2020-12-22,Mega Home Show,"9390 Woodbine Avenue, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - business open contrary to regulations,Markham Bylaw Enforcement,$750 + surcharge = $880,43.872691,-79.363914
2020-12-22,Mercedes Markham,"8350 Kennedy Road, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Staff not wearing mask,Markham Bylaw Enforcement,$750 + surcharge = $880,43.857721,-79.303696
2020-12-22,Meron To Go,"110B-11 Disera Drive, Vaughan",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Improper mask wearing, no COVID safety plan",York Region Public Health,$750 + surcharge = $880,43.810724,-79.45398
2020-12-22,Neo Housewares,"7060 Warden Avenue, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Business Regulations,Markham Bylaw Enforcement,$750 + surcharge = $880,43.821721,-79.325098
2020-12-22,North Med Pharmacy,"7131 Bathurst Street, Vaughan",City of Vaughan,Fail to comply with Class Order under Sec. 22 of HPPA - Fail to prominently post or display at each entrance the total number of persons permitted in the premises,Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.795963,-79.446598
2020-12-22,Ones Better Living,"5221 Highway 7 East, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Gathering limits,Markham Bylaw Enforcement,$750 + surcharge = $880,43.866807,-79.28576
2020-12-22,Pizza Napoli,"6710 Main Street, Whitchurch-Stouffville",Town of Whitchurch - Stouffville,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - No COVID safety plan,York Region Public Health,$750 + surcharge = $880,43.974483,-79.232828
2020-12-22,Private Residence,"43 Rustwood Road, Vaughan",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - More than 5 people at indoor gathering,York Region Public Health,$750 + surcharge = $880,43.844312,-79.473131
2020-12-22,Quality & Company Inc.,"10899 Keele Street, Vaughan",City of Vaughan,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - No COVID safety plan,York Region Public Health,$750 + surcharge = $880,43.877441,-79.517568
2020-12-22,Salon Ambassador,"7777 Weston Road, Vaughan",City of Vaughan,"Fail to comply with continued Section 7.0.2 Order O. Reg. 263/20 - Fail to ensure that patrons in a line-up inside or outside the store maintain a physical distance of at least two metres from other groups of persons, and wear face coverings in a manner that covers their mouth, nose and chin",Vaughan Bylaw Enforcement,$750 + surcharge = $880,43.79044,-79.547583
2020-12-22,South Asiyan Supermarket,"9909 Markham Road, Markham",City of Markham,Fail to comply with continued Section 7.0.2 Order O. Reg. 82/20 - Business regulations,Markham Bylaw Enforcement,$750 + surcharge = $880,43.907232,-79.267622
